customer_id,account_age_days,avg_transaction_amount,transaction_frequency_per_week,historical_chargebacks,historical_refunds,home_city,home_country
CUST_00000,1373,870.24,6.15,0,0,Chennai,IN
CUST_00001,1438,238.3,2.36,0,0,Pune,IN
CUST_00002,1248,634.59,6.82,0,1,Delhi,IN
CUST_00003,1094,5221.85,1.11,0,1,Bangalore,IN
CUST_00004,335,523.71,1.96,0,2,Chennai,IN
CUST_00005,778,927.48,2.54,0,0,Ahmedabad,IN
CUST_00006,1896,1386.48,1.62,0,0,Pune,IN
CUST_00007,1403,424.74,1.76,0,0,Chennai,IN
CUST_00008,1727,935.22,3.19,4,0,Hyderabad,IN
CUST_00009,470,1287.3,2.86,0,1,Mumbai,IN
CUST_00010,1649,301.44,1.92,0,1,Mumbai,IN
CUST_00011,822,1201.85,1.98,0,0,Hyderabad,IN
CUST_00012,136,494.52,2.07,1,0,Pune,IN
CUST_00013,1871,373.58,1.98,0,1,Chennai,IN
CUST_00014,436,440.14,3.37,0,0,Hyderabad,IN
CUST_00015,811,254.64,6.32,0,1,Ahmedabad,IN
CUST_00016,293,128.62,2.45,0,0,Ahmedabad,IN
CUST_00017,286,529.35,1.75,0,0,Pune,IN
CUST_00018,1526,430.67,3.13,0,0,Chennai,IN
CUST_00019,1530,625.08,2.49,0,0,Pune,IN
CUST_00020,1839,1096.61,4.26,0,1,Kolkata,IN
CUST_00021,742,281.1,6.25,0,0,Kolkata,IN
CUST_00022,284,743.08,9.59,0,0,Chennai,IN
CUST_00023,187,348.83,4.75,0,1,Ahmedabad,IN
CUST_00024,1764,528.35,1.65,0,0,Mumbai,IN
CUST_00025,314,495.91,1.86,0,0,Delhi,IN
CUST_00026,1623,234.25,3.53,0,1,Bangalore,IN
CUST_00027,1222,760.81,2.2,0,0,Kolkata,IN
CUST_00028,789,284.78,1.93,0,1,Delhi,IN
CUST_00029,1221,383.86,3.74,0,2,Kolkata,IN
CUST_00030,1084,577.8,5.98,0,1,Ahmedabad,IN
CUST_00031,1989,392.63,2.12,0,1,Pune,IN
CUST_00032,1394,591.06,4.34,5,0,Mumbai,IN
CUST_00033,1397,1223.63,1.17,0,1,Delhi,IN
CUST_00034,1575,587.19,3.23,0,2,Pune,IN
CUST_00035,229,577.32,4.53,0,0,Hyderabad,IN
CUST_00036,891,604.95,1.36,0,0,Pune,IN
CUST_00037,930,556.9,0.81,0,1,Bangalore,IN
CUST_00038,1954,214.02,4.0,0,0,Mumbai,IN
CUST_00039,1991,291.25,0.89,1,0,Pune,IN
CUST_00040,1040,967.16,3.39,0,0,Bangalore,IN
CUST_00041,1783,268.45,2.79,0,1,Delhi,IN
CUST_00042,1724,264.37,1.23,0,0,Pune,IN
CUST_00043,314,911.48,2.06,0,0,Chennai,IN
CUST_00044,1562,497.25,6.5,0,0,Hyderabad,IN
CUST_00045,1105,184.11,2.43,0,1,Bangalore,IN
