transaction_id,customer_id,merchant_id,timestamp,amount,currency,payment_method,device_id,ip_id,country,city,transaction_status,failure_reason,is_chargeback,is_refund,label,account_age_days,avg_transaction_amount,transaction_frequency_per_week,historical_chargebacks,historical_refunds,home_city,home_country,device_customer_count,device_transaction_count,device_first_seen,ip_customer_count,ip_transaction_count,historical_fraud_rate,merchant_avg_txn_value,amount_dev_ratio,amount_zscore_merchant,is_foreign_country,device_is_new,device_shared_flag,ip_shared_flag,prev_txn_time,seconds_since_prev_txn,velocity_5min,velocity_1hr,is_failed,failed_txn_count_24h
TXN_a841a6076e,CUST_00000,MER_0015,2025-01-31 10:41:50.000000,805.83,INR,card,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0068,710.92,0.9259859349145064,0.1335030664491083,0,1,0,0,,999999.0,1,1,0,0
TXN_5264e0edef,CUST_00000,MER_0028,2025-02-14 08:37:00.000000,865.61,INR,netbanking,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0099,504.52,0.9946796286082,0.7157099817648459,0,0,0,0,2025-01-31 10:41:50.000000,1202110.0,1,1,0,0
TXN_8c5152e587,CUST_00000,MER_0023,2025-03-03 18:36:00.000000,876.51,INR,wallet,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0237,748.53,1.0072049089906232,0.17097511121798728,0,0,0,0,2025-02-14 08:37:00.000000,1504740.0,1,1,0,0
TXN_2bab93f33e,CUST_00000,MER_0003,2025-03-28 18:43:40.000000,804.25,INR,netbanking,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0263,577.97,0.924170343813201,0.39150820976867307,0,0,0,0,2025-03-03 18:36:00.000000,2160460.0,1,1,0,0
TXN_59c375b9b3,CUST_00000,MER_0036,2025-05-03 16:03:12.000000,931.62,INR,wallet,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0262,402.01,1.0705322669608384,1.31740503967563,0,0,0,0,2025-03-28 18:43:40.000000,3100772.0,1,1,0,0
TXN_bc1b244b24,CUST_00000,MER_0000,2025-05-10 00:08:23.000000,959.3,INR,upi,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0225,896.08,1.1023395844824415,0.07055173645210239,0,0,0,0,2025-05-03 16:03:12.000000,547511.0,1,1,0,0
TXN_fb82b2e7b3,CUST_00000,MER_0025,2025-07-05 13:54:50.000000,871.24,INR,card,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0075,737.17,1.0011491082919655,0.1818712101686179,0,0,0,0,2025-05-10 00:08:23.000000,4887987.0,1,1,0,0
TXN_6824d4c5e7,CUST_00000,MER_0020,2025-09-29 19:44:21.000000,988.41,INR,upi,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0107,1089.56,1.1357901268615553,-0.0928356400748926,0,0,0,0,2025-07-05 13:54:50.000000,7451371.0,1,1,0,0
TXN_1129d6a015,CUST_00000,MER_0032,2025-09-30 23:02:34.000000,865.32,INR,upi,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0022,443.12,0.9943463872035301,0.9527893121502077,0,0,0,0,2025-09-29 19:44:21.000000,98293.0,1,1,0,0
TXN_c10f3ecdb8,CUST_00000,MER_0032,2025-10-22 03:37:49.000000,462.97,INR,upi,DEV_fb033f2568,IP_80a5867fb0,IN,Chennai,success,,0,0,0,1373,870.24,6.15,0,0,Chennai,IN,1,10,2025-01-31 10:41:50.000000,1,10,0.0022,443.12,0.5320026659312374,0.04479599205632791,0,0,0,0,2025-09-30 23:02:34.000000,1830915.0,1,1,0,0
