ip_id,country,customer_count,transaction_count
IP_0002edcd96,IN,1,14
IP_000331c68e,IN,1,14
IP_001ce6694e,IN,1,11
IP_003b5328e9,IN,1,9
IP_0042f61edd,IN,1,15
IP_0049bdb790,IN,1,11
IP_008bbd9561,IN,1,4
IP_008e09bb55,IN,1,17
IP_00a06bdc35,IN,1,14
IP_00b7e3311f,IN,1,17
IP_00b96aecf3,IN,1,10
IP_00ba772dcf,IN,1,10
IP_00c6cb0267,IN,1,12
IP_00cda7334b,IN,1,13
IP_00d5cccbbf,IN,1,13
IP_00d9e54806,IN,1,13
IP_00e1d45eeb,IN,1,10
IP_00e7282a2a,IN,1,13
IP_00ea6c573b,US,1,3
IP_00f2d01b5c,IN,1,16
IP_00fb250e00,IN,5,16
IP_0100b3b88c,GB,1,3
IP_0101bf5a79,IN,1,11
IP_0102a6ce5d,IN,1,12
IP_010c27a709,IN,1,10
IP_0120ff4c6d,IN,1,12
IP_0123047904,IN,1,10
IP_012634cd79,IN,1,11
IP_0130d920c5,IN,1,14
IP_013d5e6a5a,IN,1,16
IP_0141d5e6fa,IN,1,8
IP_014517fa46,IN,1,8
IP_014abfca55,US,1,2
IP_014b2b4cbd,IN,1,15
IP_015390aac3,IN,1,16
IP_0155bdb5e8,US,1,1
IP_016b6e43bc,IN,1,10
IP_0172027b30,IN,1,10
IP_0175057be6,IN,1,9
IP_0175ac1d13,IN,1,7
IP_017689ee2d,IN,1,13
IP_0179c3a687,IN,1,9
IP_017d99051b,IN,1,9
IP_0186953f9f,IN,1,12
IP_01998a332c,IN,1,15
IP_01a0d09759,IN,1,10
IP_01a89af1ba,IN,1,11
IP_01afe9632a,IN,1,12
IP_01b542d95c,IN,1,10
IP_01c80663ae,IN,1,10
IP_01c9ab952a,IN,1,16
IP_01cc0ee116,IN,1,11
IP_01dbebe508,IN,1,17
IP_01dfbcc7b0,IN,1,10
IP_01f0f3e71e,SG,1,1
IP_01f38d67f4,IN,1,9
IP_01f8d9976b,IN,1,15
IP_020c0c218d,IN,1,16
IP_020ce3dd64,IN,1,11
IP_020d2cc5d1,IN,1,7
IP_0219a47e57,IN,1,12
IP_0223d0d5b7,IN,1,13
IP_0228071bf5,IN,1,13
IP_0236351e9f,IN,1,14
IP_0245ccff10,IN,1,11
IP_0249d75401,IN,1,10
IP_0255f807fd,IN,1,8
IP_025866aad7,IN,1,15
IP_025c443938,IN,1,13
IP_025ea9ba3e,IN,1,10
IP_0260f5db4c,IN,1,11
IP_0267cdef2e,IN,1,13
IP_02759cc743,IN,1,7
IP_027d7dedce,IN,1,9
IP_028b17c8af,IN,1,14
IP_0296830ce3,IN,1,8
IP_029fbd43ee,IN,1,4
IP_02a7a935fb,SG,1,1
IP_02ac7a94d8,IN,1,8
IP_02cb97ef30,IN,1,8
IP_02d9d531f2,IN,1,9
IP_02da0980b3,IN,1,17
IP_02dc80fe62,IN,1,13
IP_02df2183e3,IN,1,16
IP_02e09592d7,IN,1,15
IP_02eea0dc54,IN,1,14
IP_02ef36ef6e,IN,1,12
IP_02f1406ef8,IN,1,13
IP_02f36f55fa,IN,1,18
IP_02f842dfd5,IN,1,11
IP_02ff850c97,IN,1,9
IP_03079b3e2d,IN,1,16
IP_03130ae24b,IN,1,9
IP_0316544259,IN,1,10
IP_031b63653c,IN,1,12
IP_03240a24c7,IN,1,12
IP_033566c586,IN,1,12
IP_0339842594,IN,1,18
IP_033bac1a5d,IN,1,10
IP_033e0e3f3a,IN,1,14
IP_0343437b3e,IN,1,9
IP_0347646ad4,IN,1,8
IP_034c985cca,IN,1,8
IP_03513032d0,IN,1,15
IP_03536f9353,IN,1,17
IP_0375cb3b9b,IN,1,7
IP_03775ae2e2,IN,1,19
IP_0379ff9e1b,IN,1,14
IP_037bf0c6cd,IN,1,6
IP_038e313aa8,IN,1,9
IP_03987df333,IN,1,11
IP_0398c63f63,IN,1,19
IP_039de2f3ea,IN,1,10
IP_03a1b6f222,IN,1,12
IP_03ad8483ed,IN,1,17
IP_03b04a9d5e,IN,1,18
IP_03b5519ff0,IN,1,7
IP_03c160b78c,IN,1,15
IP_03c99d2731,IN,1,14
IP_03ddd499ee,IN,1,15
IP_03e74789e4,IN,1,19
IP_03fc1f55c7,IN,1,10
IP_040ef2bf68,IN,1,10
IP_040f009154,IN,1,9
IP_040f35d4b2,IN,1,12
IP_0410aeb88d,IN,1,7
IP_0427af83bb,IN,1,22
IP_04366a42b2,IN,1,11
IP_0436913531,IN,1,8
IP_043c02c9a0,IN,1,15
IP_044013569a,IN,1,17
IP_0443c70d20,IN,1,6
IP_0444643edb,IN,1,13
IP_044cef016c,IN,1,10
IP_045051d89a,IN,1,11
IP_045b3ed541,IN,1,9
IP_045ed2f332,IN,1,10
IP_046a2956ab,IN,1,22
IP_047f56b1ad,IN,1,7
IP_0489ea8b98,IN,1,9
IP_048beb53b2,IN,1,4
IP_04924f301e,IN,1,24
IP_049552ddd6,US,1,1
IP_04aed778da,IN,1,13
IP_04af3d4b33,IN,1,9
IP_04aff6b658,IN,1,16
IP_04b7b939c5,IN,1,8
IP_04bcbc162f,IN,1,10
IP_04bfa5137d,IN,1,11
IP_04c23653fe,IN,1,11
IP_04ce294db3,IN,1,13
IP_04d91cd03c,IN,1,11
IP_04da5a7f70,IN,1,8
IP_04dd683bd1,IN,1,10
IP_04df210255,IN,1,10
IP_04e113c7a3,IN,1,16
IP_04e65114eb,AE,1,1
IP_04e9e25285,IN,1,10
IP_04ebb72ef1,IN,1,10
IP_04f03a4ee0,IN,1,9
IP_04ff0381db,IN,1,9
IP_050476d71a,IN,1,13
IP_05099780a6,IN,1,14
IP_050a504356,IN,1,11
IP_050bd6293a,IN,1,15
IP_051a5058ec,IN,1,3
IP_051e4f49c4,SG,1,2
IP_05223263c7,IN,1,16
IP_052524dffb,IN,1,11
IP_05368c2635,IN,1,15
IP_053bd6e8d2,IN,1,15
IP_0541edb96a,IN,1,13
IP_0546e9e5be,IN,1,7
IP_0551d29234,IN,1,10
IP_05606e1f9c,IN,1,8
IP_0567b1085c,IN,1,9
IP_056e752732,IN,1,12
IP_0584a411bf,IN,1,17
IP_0589f8ad2b,IN,1,9
IP_058c545586,IN,1,12
IP_0590dcb0dc,IN,5,14
IP_05998a4868,IN,1,14
IP_059df845f0,IN,1,12
IP_05a1cb7e33,IN,1,12
IP_05a75665fa,IN,1,10
IP_05c7213761,IN,1,9
IP_05c9727de1,IN,1,18
IP_05dc532f73,IN,1,11
IP_05debee0be,IN,1,10
IP_05ea8ed894,IN,1,13
IP_05f640a53b,IN,1,14
IP_060c8b0b6f,IN,1,12
IP_0623d4ab0e,IN,1,9
IP_063064fe6e,IN,1,13
IP_063637b22e,IN,1,7
IP_063c8ec754,IN,1,20
IP_063d582e22,IN,1,13
IP_064408e387,IN,1,11
IP_0645ff40e0,IN,1,10
IP_0648d3da6c,IN,1,11
IP_064b9edce0,IN,1,7
IP_065890e745,IN,1,13
IP_066b2f5bbb,IN,1,11
IP_067482b297,IN,1,9
IP_067cde5c06,IN,1,17
IP_0689db20f9,IN,1,15
IP_068b715941,IN,1,11
IP_068e26b556,IN,1,13
IP_0690edace0,IN,1,9
IP_0699140941,IN,1,21
IP_06b621311c,IN,1,14
IP_06b7af2432,IN,1,12
IP_06c2a770eb,IN,1,20
IP_06ca7a1740,IN,1,12
IP_06ccc9cda8,IN,1,7
IP_06d6e17874,IN,1,9
IP_06e7f7e81a,IN,1,7
IP_06eff5e01f,IN,1,14
IP_06f1faa477,IN,1,23
IP_06fa478f80,IN,1,9
IP_070364ed1a,IN,1,12
IP_0709e398b6,IN,1,9
IP_070ec56bfc,IN,8,24
IP_0720defd8b,IN,1,11
IP_07242b1340,IN,1,13
IP_07274f3b42,IN,1,14
IP_07296355cc,GB,1,1
IP_07366be091,IN,1,11
IP_073b0d985f,IN,1,9
IP_073bca3374,IN,1,17
IP_074a590fe4,IN,1,10
IP_07612f6534,IN,1,11
IP_076a0372e3,SG,1,2
IP_076d8d6fdb,IN,1,8
IP_0785f62009,IN,1,19
IP_079155e211,IN,1,8
IP_07964f3663,IN,1,18
IP_079942c723,IN,1,14
IP_07ac618a2f,IN,1,8
IP_07af9f2d43,IN,1,9
IP_07b5c84667,IN,1,10
IP_07b6749ea3,IN,1,10
IP_07b90b3b73,IN,1,20
IP_07c5ba3b26,IN,1,10
IP_07cedd4aca,IN,1,13
IP_07d3a5e996,IN,1,10
IP_07d71f70ae,IN,1,14
IP_07ef650db2,IN,1,12
IP_07f673cbae,IN,1,14
IP_08076c2ff1,IN,1,16
IP_080b447920,IN,1,11
IP_08101c92de,IN,1,23
IP_0817762d70,IN,1,14
IP_081a75c15d,IN,1,15
IP_081b706ec0,IN,1,15
IP_081dfed435,IN,1,16
IP_0826ba502e,IN,1,12
IP_082f5483a8,IN,1,13
IP_082fded2dc,IN,1,10
IP_0847f3f251,IN,1,15
IP_084bf7c600,IN,1,8
IP_0853a4f8a9,IN,1,11
IP_0854137446,IN,1,5
IP_08578aed33,IN,1,9
IP_0861890132,IN,1,20
IP_086239b0c0,IN,1,12
IP_0862bf40ce,IN,1,10
IP_086882d19f,IN,1,8
IP_086887bfad,IN,1,6
IP_087bb7d7c2,IN,1,15
IP_0881ce930c,IN,1,8
IP_088523c0e8,IN,1,8
IP_0886aef9e7,IN,1,13
IP_0888304a9c,IN,1,11
IP_088b4af898,IN,1,5
IP_089584497e,IN,1,19
IP_08976e5c18,IN,1,15
IP_089cc58cc6,IN,1,9
IP_089fe2c238,IN,1,10
IP_08af074f04,IN,1,11
IP_08b13a066f,IN,1,7
IP_08ba2905a6,IN,1,11
IP_08c0ec7cff,IN,1,14
IP_08c48b6415,IN,1,9
IP_08c5ef0d58,IN,1,8
IP_08d766f965,IN,1,15
IP_08dc48e2db,IN,1,15
IP_08eef37e57,IN,1,14
IP_08f00a13e6,IN,1,14
IP_08fbb53b09,IN,1,9
IP_090dfc2f72,IN,1,11
IP_09123a1c27,IN,1,13
IP_0914802735,IN,1,10
IP_092145354d,IN,1,14
IP_092403527a,IN,1,14
IP_092a72b555,SG,1,1
IP_0944baee13,IN,1,12
IP_094a9890a3,IN,1,16
IP_094fb67ea7,IN,1,14
IP_0951d6583b,IN,1,15
IP_0953b8a98f,IN,1,29
IP_095a9dfe47,IN,1,7
IP_095b414e6f,IN,1,7
IP_095e294a4e,IN,1,18
IP_096c5bb762,IN,1,8
IP_0971d3e7f6,IN,1,17
IP_0974168325,IN,1,13
IP_097bd5bc90,IN,1,13
IP_097fde39e3,IN,1,7
IP_0981db30a4,IN,1,9
IP_098bfb062a,IN,1,16
IP_098f7e05dc,IN,1,19
IP_09904f57fa,IN,1,12
IP_099c610354,IN,1,10
IP_099f31c6aa,IN,1,11
IP_09a308831a,IN,1,12
IP_09a6953052,IN,1,15
IP_09ae0cfec9,IN,1,11
IP_09af5a8297,IN,1,16
IP_09b53853f4,IN,1,7
IP_09c66e0302,IN,1,12
IP_09c84b1774,IN,1,15
IP_09ceb90870,IN,1,12
IP_09d1cb0da8,IN,1,14
IP_09d6719216,IN,1,8
IP_09dcb44806,IN,1,11
IP_09e7013308,IN,1,8
IP_09ec6bcb9e,IN,1,14
IP_09ec80bd1e,IN,1,16
IP_09f17ab106,IN,1,14
IP_0a090073da,IN,1,13
IP_0a0cc29eb5,IN,1,7
IP_0a1987cdea,IN,1,14
IP_0a1b515897,IN,1,18
IP_0a25b79f33,IN,1,21
IP_0a35733942,IN,1,13
IP_0a41d0e17f,IN,1,10
IP_0a427add36,IN,1,11
IP_0a50779679,IN,1,11
IP_0a53f80f3b,IN,1,13
IP_0a5dfe099a,IN,1,9
IP_0a74043706,IN,1,6
IP_0a7733fd96,IN,1,13
IP_0a79a2ad9a,IN,1,13
IP_0a873dd36d,IN,1,16
IP_0a87cb8b6a,IN,1,20
IP_0a8b6ea7ca,IN,1,8
IP_0a8f16de3b,IN,1,17
IP_0a8f9d8c37,IN,1,16
IP_0a910cb3c1,IN,1,12
IP_0a98a7daf0,IN,1,12
IP_0aa246209b,IN,1,12
IP_0aaf9e83ca,IN,1,7
IP_0ac398fe9f,IN,1,7
IP_0ac44cb38a,IN,1,18
IP_0acf3dea3a,IN,1,14
IP_0ad5058547,IN,1,9
IP_0add00c1c5,GB,1,1
IP_0ae70f3e54,IN,1,14
IP_0af4a73e31,IN,1,9
IP_0af69b6266,IN,1,18
