merchant_id,category,avg_transaction_value,daily_volume,historical_fraud_rate
MER_0000,gaming,896.08,506,0.0225
MER_0001,ecommerce,612.19,1176,0.0188
MER_0002,travel,577.96,964,0.0036
MER_0003,travel,577.97,469,0.0263
MER_0004,gaming,1715.62,2283,0.0026
MER_0005,ecommerce,1054.12,2468,0.0292
MER_0006,electronics,501.86,180,0.0071
MER_0007,ecommerce,921.07,433,0.0071
MER_0008,travel,769.07,1002,0.0141
MER_0009,subscription,211.04,2515,0.0102
MER_0010,ecommerce,362.24,2348,0.0102
MER_0011,travel,803.16,2982,0.0123
MER_0012,gaming,1602.61,2922,0.0076
MER_0013,subscription,580.87,1768,0.0164
MER_0014,travel,479.8,1889,0.019
MER_0015,subscription,710.92,1189,0.0068
MER_0016,ecommerce,463.88,703,0.0212
MER_0017,gaming,558.35,1781,0.0143
MER_0018,food,659.78,1188,0.003
MER_0019,travel,352.61,931,0.0275
MER_0020,food,1089.56,468,0.0107
MER_0021,ecommerce,319.74,1606,0.0166
MER_0022,ecommerce,299.79,1520,0.0291
MER_0023,food,748.53,2522,0.0237
MER_0024,food,1035.96,227,0.0045
MER_0025,gaming,737.17,1931,0.0075
MER_0026,subscription,620.55,561,0.0129
MER_0027,electronics,555.21,372,0.0096
MER_0028,subscription,504.52,1250,0.0099
MER_0029,gaming,1254.23,2583,0.0172
MER_0030,food,807.91,2414,0.0041
MER_0031,travel,527.92,2935,0.0296
MER_0032,ecommerce,443.12,237,0.0022
MER_0033,gaming,960.07,983,0.0248
MER_0034,food,1234.72,376,0.0236
MER_0035,travel,1163.01,463,0.0041
MER_0036,electronics,402.01,1188,0.0262
MER_0037,electronics,552.51,2653,0.0195
MER_0038,food,498.94,716,0.0107
MER_0039,food,595.03,1505,0.0111
