transaction_id,customer_id,merchant_id,timestamp,amount,currency,payment_method,device_id,ip_id,country,city,transaction_status,failure_reason,is_chargeback,is_refund,label
TXN_393baf4761,CUST_07788,MER_0027,2025-01-01 00:25:48.000000,429.71,INR,card,DEV_3573236453,IP_6b2e4147cc,IN,Pune,success,,0,0,0
TXN_02bb8e19b3,CUST_02409,MER_0005,2025-01-01 00:29:52.000000,371.61,INR,netbanking,DEV_b0558b0d42,IP_19571a79c5,IN,Chennai,success,,0,0,0
TXN_5af3823172,CUST_02527,MER_0030,2025-01-01 00:31:15.000000,739.85,INR,card,DEV_62acca9e4a,IP_0e309ad844,IN,Chennai,success,,0,0,0
TXN_c5bdb0d5f3,CUST_02358,MER_0039,2025-01-01 00:34:55.000000,153.26,INR,wallet,DEV_78a54b653f,IP_4f24bb0ba4,IN,Pune,success,,0,0,0
TXN_18a1325ad4,CUST_07774,MER_0012,2025-01-01 00:43:35.000000,475.57,INR,card,DEV_fae37c3900,IP_597863c21f,IN,Kolkata,success,,0,0,0
TXN_2c9576181c,CUST_02138,MER_0000,2025-01-01 00:48:15.000000,1156.85,INR,wallet,DEV_b0b84730c9,IP_e74b91d1b5,IN,Delhi,success,,0,0,0
TXN_d9cb0ecabc,CUST_02971,MER_0005,2025-01-01 00:52:28.000000,743.05,INR,wallet,DEV_db70f8969d,IP_2aa4c87ce7,IN,Chennai,success,,0,0,0
TXN_c29356b029,CUST_02571,MER_0001,2025-01-01 00:58:58.000000,167.58,INR,netbanking,DEV_94f46d6631,IP_bc5884cede,IN,Mumbai,success,,0,0,0
TXN_bb37cdbdcd,CUST_07641,MER_0005,2025-01-01 01:07:16.000000,364.62,INR,card,DEV_92d5723b20,IP_bf40543126,IN,Bangalore,failed,insufficient_funds,0,0,0
TXN_8857d45d9b,CUST_05750,MER_0038,2025-01-01 01:09:32.000000,556.04,INR,upi,DEV_28b5748260,IP_9b29a8ebb8,IN,Delhi,success,,0,0,0
TXN_19487ac630,CUST_05080,MER_0012,2025-01-01 01:16:26.000000,1153.05,INR,upi,DEV_21e4231876,IP_816b2b6d00,IN,Mumbai,success,,0,0,0
TXN_080e8593a1,CUST_06909,MER_0006,2025-01-01 01:21:24.000000,374.98,INR,netbanking,DEV_2a67554504,IP_5da0145ca9,IN,Bangalore,success,,0,0,0
TXN_89def7dec2,CUST_03589,MER_0030,2025-01-01 01:30:46.000000,1158.95,INR,wallet,DEV_138a99d17b,IP_6b83cf1c17,IN,Kolkata,success,,0,0,0
TXN_bfade48342,CUST_04909,MER_0011,2025-01-01 01:34:03.000000,665.95,INR,card,DEV_5636061d2c,IP_ace5d39af3,IN,Pune,success,,0,0,0
TXN_8b63ec8ab8,CUST_04799,MER_0008,2025-01-01 01:35:08.000000,171.48,INR,netbanking,DEV_eb15241b48,IP_2d4fc6bb0a,IN,Hyderabad,success,,0,0,0
TXN_f9f7763543,CUST_03710,MER_0031,2025-01-01 01:38:34.000000,611.85,INR,upi,DEV_c47da9e3e5,IP_0c565ac3ea,IN,Bangalore,success,,0,0,0
TXN_3626d9b6bd,CUST_02493,MER_0005,2025-01-01 01:41:21.000000,485.07,INR,upi,DEV_dc2bc8b6e8,IP_28157f831a,IN,Kolkata,success,,0,0,0
TXN_73d1427d74,CUST_04982,MER_0019,2025-01-01 01:51:58.000000,1889.35,INR,netbanking,DEV_d1db532553,IP_f53220183e,IN,Chennai,success,,0,1,0
TXN_bf18538c6e,CUST_00258,MER_0016,2025-01-01 01:53:20.000000,885.63,INR,wallet,DEV_6f43ec3b7c,IP_8ddd99e26d,IN,Bangalore,success,,0,0,0
TXN_6f2bab8155,CUST_00323,MER_0039,2025-01-01 01:59:10.000000,890.13,INR,upi,DEV_73224b6f8b,IP_3459de3e66,IN,Mumbai,success,,0,0,0
TXN_f027bc8161,CUST_00923,MER_0014,2025-01-01 02:16:16.000000,1206.32,INR,netbanking,DEV_fc1fe64006,IP_98386b8ade,IN,Ahmedabad,success,,0,0,0
TXN_92ce51b726,CUST_02236,MER_0038,2025-01-01 02:19:17.000000,344.62,INR,upi,DEV_d5aa3757da,IP_d469b8aa26,IN,Bangalore,success,,0,0,0
