transaction_id,scenario
TXN_393baf4761,legit
TXN_02bb8e19b3,legit
TXN_5af3823172,legit
TXN_c5bdb0d5f3,legit
TXN_18a1325ad4,legit
TXN_2c9576181c,legit
TXN_d9cb0ecabc,legit
TXN_c29356b029,legit
TXN_bb37cdbdcd,legit
TXN_8857d45d9b,legit
TXN_19487ac630,legit
TXN_080e8593a1,legit
TXN_89def7dec2,legit
TXN_bfade48342,legit
TXN_8b63ec8ab8,legit
TXN_f9f7763543,legit
TXN_3626d9b6bd,legit
TXN_73d1427d74,legit
TXN_bf18538c6e,legit
TXN_6f2bab8155,legit
TXN_f027bc8161,legit
TXN_92ce51b726,legit
TXN_5a9391ba11,legit
TXN_62cb24ac10,legit
TXN_25cac49e32,legit
TXN_1a3c711dfa,legit
TXN_be4bd12ef0,legit
TXN_df8fa2bb4a,legit
TXN_5fceec991b,legit
TXN_89c410473f,legit
TXN_1b80e39d73,legit
TXN_3c290871f1,legit
TXN_6fc4fe4f6b,legit
TXN_ff546ce82b,legit
TXN_1ae553d18b,legit
TXN_6bdf7e52f8,legit
TXN_69c4eaae02,legit
TXN_8a5c4eb4d2,legit
TXN_f9e8746928,legit
TXN_8ccc59fcfe,legit
TXN_b47b7f0f8a,legit
TXN_de384a95bb,legit
TXN_84700a94bf,legit
TXN_70ebcfa412,legit
TXN_d3d90861e6,legit
TXN_43214f4b85,legit
TXN_9086401420,legit
TXN_0ed2fd7d63,legit
TXN_d249efcbf0,legit
TXN_31b31b111c,legit
TXN_a5df7cf2dd,legit
TXN_a5560cd4fd,legit
TXN_940ecdc1dc,legit
TXN_da5230dd14,legit
TXN_19687f7597,legit
TXN_ef444a3bcb,legit
TXN_a107b13514,legit
TXN_3f843e7614,legit
TXN_4a655b127f,legit
TXN_aab586d869,legit
TXN_1a93e7019c,legit
TXN_ba852b63dc,legit
TXN_253f030be1,legit
TXN_d7be042515,legit
TXN_b5e6086f76,legit
TXN_3ba715dc9f,legit
TXN_6042092429,legit
TXN_e25b752179,legit
TXN_a45201e88d,legit
TXN_8bdfa4fe99,legit
TXN_f881ddde34,legit
TXN_263bd2f9b5,legit
TXN_ed2de38111,legit
TXN_969f3593b4,legit
TXN_350fe3f024,legit
TXN_4e4107369f,legit
TXN_b06b82b4df,legit
TXN_084aaf99fc,legit
TXN_c9cfed60b8,legit
TXN_41eef09e47,legit
TXN_dcd55d4e1e,legit
TXN_b92c2aa2c0,legit
TXN_6a01e5c236,legit
TXN_c4225bf805,legit
TXN_1b764e0228,legit
TXN_3e41080ffe,legit
TXN_310573d441,legit
TXN_e1adca80e6,legit
TXN_7ec96e247a,legit
TXN_0d7ee15041,legit
TXN_867d47a974,legit
TXN_bfb168d6fc,legit
TXN_3366292cb2,legit
TXN_8b64d26d4e,legit
TXN_185fea496d,legit
TXN_bb52a8d5ba,legit
TXN_21ebfdbef3,legit
TXN_d6eb6f9b9c,legit
TXN_659104cf63,legit
TXN_143bafff50,legit
TXN_a0be2d677e,legit
TXN_3d5d189e25,legit
TXN_f01cf196af,legit
TXN_942c5733c5,legit
TXN_c6380ce689,legit
TXN_fd5816263d,legit
TXN_3fc2650120,legit
TXN_4dabffc946,legit
TXN_39ce1b557a,legit
TXN_10b9a7966b,legit
TXN_fd6327ac2b,legit
TXN_72a00ba11d,legit
TXN_f38442ab30,legit
TXN_983390dfc3,legit
TXN_b3824c4d9d,legit
TXN_ed10fd892b,legit
TXN_65d453c1f5,legit
TXN_102d591cf0,legit
