cluster_id,cluster_size,customers,shared_device_count,shared_ip_count,cluster_fraud_rate
1,17,"['CUST_00903', 'CUST_00444', 'CUST_05544', 'CUST_05218', 'CUST_01979', 'CUST_07774', 'CUST_06817', 'CUST_01503', 'CUST_07329', 'CUST_00632', 'CUST_02923', 'CUST_05455', 'CUST_00008', 'CUST_00844', 'CUST_03522', 'CUST_02739', 'CUST_01644']",4,2,1.0
2,10,"['CUST_02401', 'CUST_06910', 'CUST_06407', 'CUST_04706', 'CUST_02816', 'CUST_04124', 'CUST_06700', 'CUST_00014', 'CUST_06531', 'CUST_02192']",3,1,1.0
3,22,"['CUST_00709', 'CUST_07195', 'CUST_07954', 'CUST_02673', 'CUST_07926', 'CUST_02905', 'CUST_00395', 'CUST_04737', 'CUST_06506', 'CUST_07337', 'CUST_03664', 'CUST_04116', 'CUST_07876', 'CUST_01437', 'CUST_00053', 'CUST_02330', 'CUST_05672', 'CUST_02433', 'CUST_06739', 'CUST_00104', 'CUST_03135', 'CUST_03781']",5,4,1.0
4,5,"['CUST_00058', 'CUST_06132', 'CUST_06586', 'CUST_04498', 'CUST_03207']",2,1,1.0
5,5,"['CUST_03848', 'CUST_00093', 'CUST_03231', 'CUST_04404', 'CUST_02421']",1,1,1.0
6,8,"['CUST_01161', 'CUST_00130', 'CUST_00803', 'CUST_03346', 'CUST_07087', 'CUST_02438', 'CUST_06467', 'CUST_06110']",1,2,1.0
7,40,"['CUST_05620', 'CUST_04847', 'CUST_07549', 'CUST_06215', 'CUST_03038', 'CUST_00502', 'CUST_01389', 'CUST_05001', 'CUST_06237', 'CUST_06920', 'CUST_02642', 'CUST_01229', 'CUST_06268', 'CUST_00516', 'CUST_06444', 'CUST_00534', 'CUST_06267', 'CUST_03085', 'CUST_03482', 'CUST_04245', 'CUST_00691', 'CUST_04677', 'CUST_04201', 'CUST_07141', 'CUST_06766', 'CUST_01076', 'CUST_00744', 'CUST_00181', 'CUST_05811', 'CUST_01013', 'CUST_07027', 'CUST_05769', 'CUST_01757', 'CUST_02142', 'CUST_07579', 'CUST_07533', 'CUST_01731', 'CUST_03192', 'CUST_06074', 'CUST_06989']",7,7,1.0
8,5,"['CUST_03689', 'CUST_01572', 'CUST_03138', 'CUST_05671', 'CUST_00186']",2,1,1.0
9,7,"['CUST_05131', 'CUST_00192', 'CUST_04344', 'CUST_07167', 'CUST_01628', 'CUST_03736', 'CUST_01677']",2,2,1.0
10,8,"['CUST_07209', 'CUST_01421', 'CUST_03095', 'CUST_00219', 'CUST_00201', 'CUST_06427', 'CUST_01358', 'CUST_07878']",2,2,1.0
11,9,"['CUST_06618', 'CUST_05155', 'CUST_06262', 'CUST_07736', 'CUST_01693', 'CUST_00207', 'CUST_07178', 'CUST_04926', 'CUST_06590']",2,2,1.0
12,19,"['CUST_07320', 'CUST_05924', 'CUST_04382', 'CUST_05084', 'CUST_03269', 'CUST_03573', 'CUST_01493', 'CUST_04121', 'CUST_01764', 'CUST_05164', 'CUST_07484', 'CUST_02294', 'CUST_07544', 'CUST_01044', 'CUST_06123', 'CUST_00217', 'CUST_01112', 'CUST_06393', 'CUST_05472']",4,4,1.0
13,10,"['CUST_05291', 'CUST_06477', 'CUST_06265', 'CUST_05226', 'CUST_03602', 'CUST_01945', 'CUST_00262', 'CUST_06568', 'CUST_06018', 'CUST_01500']",3,2,1.0
14,9,"['CUST_06707', 'CUST_00269', 'CUST_06070', 'CUST_02643', 'CUST_04952', 'CUST_05610', 'CUST_06923', 'CUST_03625', 'CUST_06751']",2,2,1.0
15,24,"['CUST_04608', 'CUST_03489', 'CUST_07889', 'CUST_04671', 'CUST_00345', 'CUST_01329', 'CUST_05058', 'CUST_05677', 'CUST_01507', 'CUST_00376', 'CUST_02177', 'CUST_02474', 'CUST_04420', 'CUST_06186', 'CUST_07386', 'CUST_02241', 'CUST_07724', 'CUST_01360', 'CUST_03528', 'CUST_02618', 'CUST_01539', 'CUST_02935', 'CUST_02482', 'CUST_02665']",5,5,1.0
16,10,"['CUST_05634', 'CUST_01994', 'CUST_02874', 'CUST_05043', 'CUST_05039', 'CUST_07076', 'CUST_03336', 'CUST_00616', 'CUST_05258', 'CUST_00380']",2,2,1.0
17,8,"['CUST_00526', 'CUST_02921', 'CUST_06345', 'CUST_06922', 'CUST_01393', 'CUST_05049', 'CUST_03817', 'CUST_05918']",2,1,1.0
18,12,"['CUST_04764', 'CUST_06508', 'CUST_01271', 'CUST_02147', 'CUST_04609', 'CUST_01752', 'CUST_00540', 'CUST_04219', 'CUST_07423', 'CUST_02378', 'CUST_03081', 'CUST_01750']",3,3,1.0
19,10,"['CUST_00594', 'CUST_03290', 'CUST_03998', 'CUST_03271', 'CUST_06009', 'CUST_03323', 'CUST_06678', 'CUST_03590', 'CUST_06402', 'CUST_01184']",2,1,1.0
20,7,"['CUST_05942', 'CUST_00631', 'CUST_03035', 'CUST_05215', 'CUST_03860', 'CUST_00963', 'CUST_06494']",1,2,1.0
